Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name,,bad_ticker
AXAS,Abraxas Petroleum Corp.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AXDX,Accelerate Diagnostics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AXE,Anixter International Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AXL,"American Axle & Manufact. Holdings, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AXP,American Express Company,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AXS,Axis Capital Holdings Limited,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AYI,"Acuity Brands, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AYR,Aircastle Limited,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AZO,"AutoZone, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AZPN,"Aspen Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AZZ,AZZ Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
B,Barnes Group Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BA,Boeing Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BABY,Natus Medical Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BAC,Bank of America Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BAH,Booz Allen Hamilton Holding Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BANC,Banc of California Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BANF,BancFirst Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BANR,Banner Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BAS,Basic Energy Services Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BAX,Baxter International Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BBBY,Bed Bath & Beyond Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BBGI,Beasley Broadcast Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BBSI,"Barrett Business Services, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BBT,BB&T Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BBW,"Build-A-Bear Workshop, Inc",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BBX,BBX Capital Corp Class A,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BBY,Best Buy Co Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BC,Brunswick Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BCC,Boise Cascade Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BCEI,Bonanza Creek Energy Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BCO,Brink's Company,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BCOR,BLUCORA INC Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BCOV,Brightcove Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BCPC,Balchem Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BCRX,"BioCryst Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BDC,Belden Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BDGE,"Bridge Bancorp, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BDN,Brandywine Realty Trust,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BDSI,"BioDelivery Sciences International, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BDX,Becton Dickinson and Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BEAT,BioTelemetry Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BECN,"Beacon Roofing Supply, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BELFB,"Bel Fuse, Inc. Class B",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BEN,"Franklin Resources, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BERY,Berry Global Group Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BFAM,Bright Horizons Family Solutions Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BFIN,BankFinancial Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BFS,Saul Centers Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BG,Bunge Ltd,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BGCP,"BGC Partners, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BGFV,Big 5 Sporting Goods Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BGG,Briggs & Stratton Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BGS,"B&G Foods, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BH,Biglari Holdings Inc Class B,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BHE,"Benchmark Electronics, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BHF,Brighthouse Financial Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BHGE,Baker Hughes A GE Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BHLB,"Berkshire Hills Bancorp, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BID,Sothebys,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BIDU,Baidu Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BIG,"Big Lots, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BIIB,Biogen Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BIOL,BIOLASE Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BIOS,BioScrip Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BJRI,"BJ's Restaurants, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BK,Bank of New York Mellon Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BKCC,Blackrock Capital Investment Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
BKD,"Brookdale Senior Living, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
BKE,Buckle Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
