,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
520,Jhunjhunun,289.561,289.561,75,28.13,75.4,0,1.32,1540840168,IN
521,Itambacuri,294.811,294.811,87,-18.04,-41.68,88,4.57,1540840168,BR
522,Klyuchi,278.461,278.461,67,52.25,79.17,56,9.22,1540840168,RU
523,Puerto del Rosario,292.15,292.15,63,28.5,-13.86,20,5.1,1540839600,ES
524,Phuket,298.15,298.15,88,7.89,98.4,40,1.0,1540837800,TH
525,Charters Towers,296.036,296.036,94,-20.07,146.27,64,4.47,1540840169,AU
526,Tabou,300.811,300.811,100,4.42,-7.36,68,4.57,1540840170,CI
527,Yeppoon,296.15,296.15,88,-23.13,150.74,90,4.1,1540837800,AU
528,Palanga,288.386,288.386,66,44.45,25.08,32,3.02,1540840170,RO
529,Kaiserslautern,275.15,280.15,80,49.44,7.77,90,5.1,1540839360,DE
530,Nayoro,278.661,278.661,85,44.36,142.46,92,4.57,1540840171,JP
531,Rio Gallegos,288.15,288.15,21,-51.62,-69.22,40,3.1,1540836000,AR
532,La Tuque,277.236,277.236,82,47.44,-72.79,88,1.62,1540840171,CA
533,Luena,295.986,295.986,44,-11.78,19.91,0,1.87,1540840171,AO
534,Taltal,294.336,294.336,71,-25.41,-70.49,0,1.67,1540840172,CL
535,Ciawi,299.436,299.436,100,-6.7,108.44,44,3.87,1540840172,ID
536,Bend,284.15,284.25,50,44.06,-121.32,1,6.2,1540839360,US
537,Areosa,281.15,284.15,87,41.72,-8.86,90,3.1,1540839600,PT
538,Lock Haven,280.15,284.85,56,41.14,-77.45,90,6.7,1540839240,US
